epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202123,2021-06-06,452,PE,Recife,2611606,city,124626,7537.28089,0,4339,0,0.0348,1653461,False,True
202122,2021-06-05,451,PE,Recife,2611606,city,124626,7537.28089,848,4339,15,0.0348,1653461,True,False
202122,2021-06-04,450,PE,Recife,2611606,city,123778,7485.99453,75,4324,7,0.0349,1653461,False,False
202122,2021-06-03,449,PE,Recife,2611606,city,123703,7481.45859,810,4317,26,0.0349,1653461,False,False
202122,2021-06-02,448,PE,Recife,2611606,city,122893,7432.47044,584,4291,16,0.0349,1653461,False,False
202122,2021-06-01,447,PE,Recife,2611606,city,122309,7397.15058,908,4275,23,0.035,1653461,False,False
202122,2021-05-31,446,PE,Recife,2611606,city,121401,7342.23547,505,4252,10,0.035,1653461,False,False
202122,2021-05-30,445,PE,Recife,2611606,city,120896,7311.69347,572,4242,9,0.0351,1653461,False,False
202121,2021-05-29,444,PE,Recife,2611606,city,120324,7277.09937,961,4233,21,0.0352,1653461,False,False
202121,2021-05-28,443,PE,Recife,2611606,city,119363,7218.97886,86,4212,21,0.0353,1653461,False,False
202121,2021-05-27,442,PE,Recife,2611606,city,119277,7213.77765,565,4191,25,0.0351,1653461,False,False
202121,2021-05-26,441,PE,Recife,2611606,city,118712,7179.6069,493,4166,11,0.0351,1653461,False,False
202121,2021-05-25,440,PE,Recife,2611606,city,118219,7149.79065,912,4155,28,0.0351,1653461,False,False
202121,2021-05-24,439,PE,Recife,2611606,city,117307,7094.63362,448,4127,3,0.0352,1653461,False,False
202121,2021-05-23,438,PE,Recife,2611606,city,116859,7067.53894,744,4124,4,0.0353,1653461,False,False
202120,2021-05-22,437,PE,Recife,2611606,city,116115,7022.54241,257,4120,8,0.0355,1653461,False,False
202120,2021-05-21,436,PE,Recife,2611606,city,115858,7006.99926,635,4112,12,0.0355,1653461,False,False
202120,2021-05-20,435,PE,Recife,2611606,city,115223,6968.59497,533,4100,19,0.0356,1653461,False,False
202120,2021-05-19,434,PE,Recife,2611606,city,114690,6936.35955,667,4081,12,0.0356,1653461,False,False
202120,2021-05-18,433,PE,Recife,2611606,city,114023,6896.01992,1171,4069,18,0.0357,1653461,False,False
202120,2021-05-17,432,PE,Recife,2611606,city,112852,6825.19878,72,4051,5,0.0359,1653461,False,False
202120,2021-05-16,431,PE,Recife,2611606,city,112780,6820.84428,644,4046,-1,0.0359,1653461,False,False
202119,2021-05-15,430,PE,Recife,2611606,city,112136,6781.89567,706,4047,17,0.0361,1653461,False,False
202119,2021-05-14,429,PE,Recife,2611606,city,111430,6739.19736,546,4030,15,0.0362,1653461,False,False
202119,2021-05-13,428,PE,Recife,2611606,city,110884,6706.17571,423,4015,26,0.0362,1653461,False,False
202119,2021-05-12,427,PE,Recife,2611606,city,110461,6680.59301,531,3989,19,0.0361,1653461,False,False
202119,2021-05-11,426,PE,Recife,2611606,city,109930,6648.47855,622,3970,20,0.0361,1653461,False,False
202119,2021-05-10,425,PE,Recife,2611606,city,109308,6610.86049,1435,3950,5,0.0361,1653461,False,False
202119,2021-05-09,424,PE,Recife,2611606,city,107873,6524.07284,100,3945,1,0.0366,1653461,False,False
202118,2021-05-08,423,PE,Recife,2611606,city,107773,6518.02492,730,3944,18,0.0366,1653461,False,False
202118,2021-05-07,422,PE,Recife,2611606,city,107043,6473.8751,618,3926,11,0.0367,1653461,False,False
202118,2021-05-06,421,PE,Recife,2611606,city,106425,6436.49896,1289,3915,35,0.0368,1653461,False,False
202118,2021-05-05,420,PE,Recife,2611606,city,105136,6358.54127,0,3880,0,0.0369,1653461,False,True
202118,2021-05-04,419,PE,Recife,2611606,city,105136,6358.54127,678,3880,27,0.0369,1653461,False,False
202118,2021-05-03,418,PE,Recife,2611606,city,104458,6317.53637,303,3853,7,0.0369,1653461,False,False
202118,2021-05-02,417,PE,Recife,2611606,city,104155,6299.21117,97,3846,15,0.0369,1653461,False,False
202117,2021-05-01,416,PE,Recife,2611606,city,104058,6293.34469,410,3831,21,0.0368,1653461,False,False
202117,2021-04-30,415,PE,Recife,2611606,city,103648,6268.54821,327,3810,19,0.0368,1653461,False,False
202117,2021-04-29,414,PE,Recife,2611606,city,103321,6248.77152,784,3791,31,0.0367,1653461,False,False
202117,2021-04-28,413,PE,Recife,2611606,city,102537,6201.35582,685,3760,37,0.0367,1653461,False,False
202117,2021-04-27,412,PE,Recife,2611606,city,101852,6159.92757,837,3723,25,0.0366,1653461,False,False
202117,2021-04-26,411,PE,Recife,2611606,city,101015,6109.30648,250,3698,12,0.0366,1653461,False,False
202117,2021-04-25,410,PE,Recife,2611606,city,100765,6094.18668,222,3686,17,0.0366,1653461,False,False
202116,2021-04-24,409,PE,Recife,2611606,city,100543,6080.7603,432,3669,11,0.0365,1653461,False,False
202116,2021-04-23,408,PE,Recife,2611606,city,100111,6054.63328,395,3658,19,0.0365,1653461,False,False
202116,2021-04-22,407,PE,Recife,2611606,city,99716,6030.744,423,3639,17,0.0365,1653461,False,False
202116,2021-04-21,406,PE,Recife,2611606,city,99293,6005.1613,750,3622,20,0.0365,1653461,False,False
202116,2021-04-20,405,PE,Recife,2611606,city,98543,5959.80189,734,3602,14,0.0366,1653461,False,False
202116,2021-04-19,404,PE,Recife,2611606,city,97809,5915.41016,565,3588,7,0.0367,1653461,False,False
202116,2021-04-18,403,PE,Recife,2611606,city,97244,5881.23941,649,3581,10,0.0368,1653461,False,False
202115,2021-04-17,402,PE,Recife,2611606,city,96595,5841.98841,199,3571,16,0.037,1653461,False,False
202115,2021-04-16,401,PE,Recife,2611606,city,96396,5829.95305,249,3555,11,0.0369,1653461,False,False
202115,2021-04-15,400,PE,Recife,2611606,city,96147,5814.89373,184,3544,10,0.0369,1653461,False,False
202115,2021-04-14,399,PE,Recife,2611606,city,95963,5803.76556,707,3534,22,0.0368,1653461,False,False
202115,2021-04-13,398,PE,Recife,2611606,city,95256,5761.00676,834,3512,12,0.0369,1653461,False,False
