,Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
692083,Hayden Fulwood,M,SBD,Raw,18.0,18-19,MR-T3,88.0,90,,,,,167.5,,,,,122.5,,,,,227.5,517.5,1,334.25,354.31,322.27,482.79,Yes,USA,USAPL,2013-04-27,USA,AL,S.E HS State Wars
621012,Jozef Slimák,M,B,Multi-ply,46.0,45-49,M-M2,82.2,82.5,,,,,,165.0,180.0,-190.0,,180.0,,,,,,180.0,1,120.85,129.06,116.68,571.78,,Slovakia,WPC,2012-11-06,USA,NV,World Championships
164449,Chase Garrett,M,D,Raw,,13-15,Teenage 13-15,44.0,44,,,,,,,,,,,,,,,70.31,70.31,1,83.29,98.28,82.94,212.28,,,SPF,2008-12-06,USA,,Body by George Classic
353419,Edgar Rodea,M,SBD,Single-ply,,,Boys,92.9,99.7,,,,,204.12,,,,,129.27,,,,,185.97,519.36,1,326.42,326.42,314.34,420.04,Yes,,THSPA,2017-01-28,USA,TX,Santo Meet
128144,K. Kaufman,M,B,Raw,,,Open,90.0,90,,,,,,,,,,145.15,,,,,,145.15,6,92.66,92.66,89.3,558.46,,,USPF,1979-12-08,USA,ND,3rd Annual Midwestern Bench Press Championships
503778,Jason Carrillo,M,SBD,Single-ply,,,Boys,105.51,109.7,,,,,127.01,,,,,83.91,,,,,129.27,340.19,4,202.94,202.94,194.7,276.23,Yes,,THSPA,2016-01-23,USA,TX,Wildcat Invitational 2
597960,Robin James,M,BD,Single-ply,,,p+f,148.23,140+,,,,,,,,,,202.5,,,,,267.5,470.0,1,260.48,260.48,246.21,,Yes,,NASA,2006-08-04,USA,OK,World Cup Championships
1380291,Norma Nieves,F,SBD,Single-ply,44.5,40-44,Open,84.57,84+,210.0,225.0,-237.5,,225.0,125.0,135.0,145.0,,145.0,-195.0,195.0,-205.0,,195.0,565.0,1,502.15,523.74,438.78,647.35,Yes,Puerto Rico,NAPF,2016-08-15,US Virgin Islands,,North American Powerlifting Championships
585515,Børre Borgersen,M,B,Single-ply,51.5,50-54,Masters 50-59,93.21,105,,,,,,145.0,-212.5,-220.0,,145.0,,,,,,145.0,1,90.99,104.37,87.61,455.93,Yes,Norway,NSF,2015-10-03,Norway,,RM Benkpress
122973,J. Beckham,M,B,Single-ply,,,Masters 40-44,100.0,100,,,,,,,,,,152.5,,,,,,152.5,1,92.81,92.81,89.2,454.29,,,USPF,1993-05-14,USA,TX,Masters Nationals
1017084,Olavi Rintanen,M,SBD,Single-ply,32.5,24-34,Open,100.0,100,,,,,280.0,,,,,180.0,,,,,317.5,777.5,2,473.18,473.18,454.76,577.51,Yes,Finland,SVNL,1988-02-26,Finland,,Miesten voimanoston SM-kisat
254420,Joseph Gaylon,M,SBD,Single-ply,,,Boys,96.62,99.7,,,,,190.51,,,,,136.08,,,,,195.04,521.63,12,322.04,322.04,309.81,412.92,Yes,,THSPA,2014-02-22,USA,TX,Lytle
782799,Anne Lehtokoski,F,SBD,Single-ply,,,Open,82.5,82.5,,,,,155.0,,,,,70.0,,,,,175.0,400.0,3,359.99,359.99,315.11,494.32,Yes,Finland,EPF,1984-12-01,France,,Women's European Powerlifting Championships
823866,Jennifer Grady,F,SBD,Raw,42.0,40-44,Masters 40-44,58.9,60,,,,,82.5,,,,,37.5,,,,,105.0,225.0,1,254.48,259.57,224.91,394.16,,,USPA,2017-03-25,USA,FL,Bending the Bar Volume 1
1199267,Dave van Brocklin,M,B,Raw,60.5,60-64,M 60-64,125.0,125,,,,,,,,,,137.5,,,,,,137.5,1,78.35,104.99,74.63,434.27,,USA,APC,2009-10-24,USA,GA,Americas Cup
872883,Israel Irizarry,M,SBD,Raw,22.0,20-23,Open,109.72,110,,,,,190.0,,,,,140.0,,,,,205.0,535.0,8,315.09,318.24,301.86,435.17,,,USPA,2014-01-11,USA,CA,Camp Pendleton Open
1398692,Nick Russo,M,SBD,Wraps,,20-23,Amateur Juniors 20-23,73.12,75,,,,,185.97,,,,,113.4,,,,,226.8,526.17,1,381.73,381.73,369.47,562.13,Yes,,RPS,2015-03-21,USA,NY,Dominion
196457,Stephen Burton,M,SBD,Single-ply,,,Open,87.6,90,145.0,155.0,162.5,,162.5,-105.0,110.0,-115.0,,110.0,200.0,220.0,-230.0,,220.0,492.5,6,318.88,318.88,307.48,414.32,Yes,,PA,2008-11-30,Australia,QLD,South East Challenge
369316,Jake Williams #5,M,SBD,Single-ply,,,Boys,83.28,89.8,,,,,158.76,,,,,117.93,,,,,181.44,458.13,4,305.19,305.19,294.58,400.69,Yes,,THSPA,2015-01-24,USA,TX,Lone Oak Meet
351854,Dylan Haralson,M,SBD,Single-ply,,,Boys,65.68,67.1,,,,,231.33,,,,,90.72,,,,,222.26,544.31,1,429.11,429.11,416.6,539.12,Yes,,THSPA,2013-02-02,USA,TX,Riesel Invitational
416298,Tristan Johansen,M,SBD,Single-ply,,,Boys,121.2,124.7,,,,,142.88,,,,,68.04,,,,,136.08,347.0,6,199.04,199.04,189.87,262.93,Yes,,THSPA,2016-01-16,USA,TX,Bosqueville Invitational
1176327,Victoria Stanford,F,SBD,Single-ply,,,Girls,97.07,100,,,,,115.67,,,,,47.63,,,,,117.93,281.23,2,236.31,236.31,203.75,362.66,Yes,,THSWPA,2019-01-25,USA,TX,Abilene Cooper Invitational
28561,Oleksandr Daragan,M,SBD,Single-ply,50.5,50-54,Masters 2,97.9,105,,,,,130.0,,,,,125.0,,,,,160.0,415.0,1,254.77,287.89,245.01,337.61,Yes,,UkrainePF,2015-02-23,Ukraine,,Ukrainian Masters Powerlifting & Bench Press Championship
